Wskusku,Description,Location,High,Tie,Case Height,Case Depth,Case Width,Case Weight
3501740,HNTS SAN MRZNO WHL TOMS       ,G4BH12              ,7,8,4.79,16.44,12.31,23.86
3503933,DELMNT FIRE ROASTED CORN      ,G4BH14              ,6,17,4.56,12.13,9.13,12.90
3504588,KRO HICKORY BAKED BEANS       ,G4BH22              ,7,17,4.63,12.13,9.00,13.10
3598033,STO TOMATO SAUCE              ,G4BH24              ,6,17,4.50,12.00,9.00,14.00
3504572,VCMP PORK AND BEANS           ,G4BH32              ,4,16,8.75,18.00,12.00,26.00
3504400,HNTS DCD FR RST TOM W/GRL     ,G4BH34              ,6,16,4.50,12.20,9.10,12.60
3504566,KRO SUPR SWT GLD CORN 4CT     ,G4BH53              ,10,8,4.50,18.00,12.25,26.00
3503447,HNTS CRUSHED TOMATOES         ,G4BH63              ,7,8,4.80,16.30,12.30,24.50
3500355,BUSH RS BLACK BEANS           ,G4BH73              ,12,17,4.50,12.10,9.10,13.80
3503439,DELMNT NS SWEET PEAS          ,G4BH83              ,12,17,5.00,12.20,9.10,13.50
3592304,STO FIRE RSTD TOMATOES        ,G4BJ02              ,6,17,4.50,12.25,9.13,13.00
3504410,REDGLD PETITE DCD TOMATOS     ,G4BJ04              ,6,17,4.80,12.20,9.20,13.00
3502056,BUSH CANNELLINI BEANS         ,G4BJ12              ,8,17,4.50,12.10,9.10,13.40
3592302,STO DICED TOMATOES            ,G4BJ14              ,7,17,4.50,12.25,9.13,13.00
3506089,PRSL MARINATED ARTICHOKES     ,G4BJ22              ,6,34,5.12,8.46,5.71,8.60
3500156,KRO QTR ARTICHOKE HEARTS      ,G4BJ24              ,7,34,4.64,5.83,9.01,6.60
3503455,DELMNT SLICED CARROTS         ,G4BJ32              ,3,17,9.00,12.00,9.00,26.00
3501975,BUSH DARK RED KIDNEY BEAN     ,G4BJ34              ,8,17,4.50,12.10,9.10,13.80
3505793,KRO DARK RED KIDNEY BEANS     ,G4BJ53              ,10,17,4.50,12.00,9.00,13.60
3504579,KRO WH KRN SW GLD CRN 4CT     ,G4BJ63              ,10,8,4.50,18.00,12.25,26.00
3505774,KRO DRK RD KIDNEY BNS 4CT     ,G4BJ73              ,10,8,4.50,12.00,18.00,27.00
3504323,HNTS DICED TOMATOES           ,G4BJ83              ,7,8,4.50,18.00,12.00,24.50
3500558,PNPT HT  SP BOILED PNUTS      ,G4BK02              ,10,10,5.00,16.50,12.25,23.60
3505777,KRO BLACK BEANS 4CT           ,G4BK12              ,10,8,4.50,12.00,18.00,27.00
3597054,STO CANNED YAMS               ,G4BK22              ,10,17,4.50,12.00,9.00,13.50
3502772,KRO CUT ITAL GREEN BEANS      ,G4BK32              ,10,17,4.50,12.25,9.25,11.87
3504725,OEP VEGETRN REFRIED BEANS     ,G4BK53              ,6,17,4.50,12.00,9.00,15.00
3503741,KRO PTITE DCD TMTOES 4PK      ,G4BK63              ,9,8,4.56,17.37,11.62,25.00
3503788,KRO DICED TOMATOES 4PK        ,G4BK73              ,9,8,4.56,17.37,11.62,25.00
3503178,DELMNT WHOLE GREEN BEANS      ,G4BK83              ,12,17,4.50,12.10,9.10,13.00
3504602,KRO FS GREEN BEANS 4CT        ,G4BL02              ,10,8,4.50,18.00,12.25,26.00
3504894,BUSH MILD KDNY CHILI BEAN     ,G4BL12              ,12,17,4.50,12.13,9.13,13.80
3501989,KRO MIXED CHILI BEAN          ,G4BL22              ,10,17,4.46,12.07,9.04,13.50
3501899,GLORY RS COLLARD GREENS       ,G4BL32              ,10,17,4.50,12.06,9.06,13.11
3502903,KRO WHOLE GREEN BEANS         ,G4BL53              ,5,17,9.13,12.25,9.25,26.00
3521993,BUSH ORIGINAL BAKED BEANS     ,G4BL63              ,7,14,6.00,14.00,10.30,22.70
3500425,DELMNT 50%LS FRC GRN BEAN     ,G4BL73              ,12,17,4.56,12.13,9.13,12.79
3501146,KRO NS SLICED BEETS           ,G4BL83              ,10,17,4.50,12.00,9.25,13.50
